Account,TweetsPerDay,SimilarTweets
blinkk_lyrics,66,60
BlogYourWorld,13,22
bloodedrejoice,20,0
bluechipbiz,28,443
bndr0043,2,2
BluntChick,28,1
Bnt_abOooOy,2,0
Bntmahmd,28,5
Bo4Saleh,28,93
bo_tlo,5,8
boastfultrickle,20,1
BobMarllley,7,21
bocceeek,22,0
bod_21,18,50
bodyhealthy10,100,1
BofA_Help,100,449
bofajiritug,15,3
bojsoom50,15,165
bojuxozufuf,15,0
bokaled_q8,10,153
zeinabxrevena,100,172
ZeinabZeZe2,100,13
zeko9000,4,13
zekry22,5,11
zeppelin_1986,14,5
zeyad_elhossary,17,5
zhhhhor,100,22
Ziad_Oqaili,7,1
ZiadTariq640,5,39
zibajidafos,12,26
zirmankiele,1,0
zizo_gamal_zizo,20,85
zizomedo4,33,8
zlabiaa515,28,142
zm1034440,2,0
zo0om99,2,6
zooz_zoo2012,8,883
zozo_alzain23,4,3
zsc_30,11,6
ZSd86,19,6
