Account,TweetsPerDay,SimilarTweets,AccountType
AnasCom4,5,583,User
AnasMoh58660459,1,2,User
AndrewShakerxx,18,8,User
Andronagy2,33,7,User
Anees_mansoor2,2,8,User
angalalfahad,8,20,User
AngelLondon3,50,1817,User
Angelmontenegro,2,21,User
AngelMotino,3,50,User
Anghamiii,10,10,User
AnimeHumorEs,1,16,User
aniq111,100,0,User
Ankabtsh,8,92,User
annukhan2015,6,1,User
anooRii_O,2,34,User
anseabe,4,13,User
ant_al5ir,7,1819,User
anttoniettab,3,5,User
ANZOATEGUI_mio,18,4,User
aomarx1,10,4,User
Ap_MosFer,66,1384,User
Aprylhendle36,4,1980,User
aqabt,200,11,User
aqar_r,66,111,User
aqaralfahad,2,260,User
aqaralkharj,4,14,User
aqaryah,66,166,User
ArabiaWeatherSA,66,42,User
ArabSign,3,91,User
arceliksat,2,1176,User
Areej_Jeddah,4,67,User
aregalsamt02com,18,68,User
Argentina_B_10,50,52,User
ArkanJahrami,20,24,User
ARMNL__85,100,13,User
Aroa5519,3,8,User
arrwaahmed,2,25,User
arxzi,28,88,User
AS0582,5,3578,User
asamigullina1,100,283,User
AsdopAsdop17,100,64,User
aseelaljahdare,3,2,User
AseerLove10,6,61,User
Asem_abdlmaqsod,4,2,User
asem_elattar,25,1,User
ashraf5544,99,19,User
ash8ltne,3,2,User
Ashraf_Smir,15,31,User
ashrafhegazy12,11,3,User
Ashrakat_Reda,1,4765,User
Ashraktyasser9,6,0,User
askmg4,5,88,User
asma_moOKa,66,1,User
asmaa_moamen,1,0,User
asmaa_samo2a,4,1,User
asmaa_zanaty,7,234,User
asmaamomtaz,7,3,User
asmaanady99,38,2,User
Asmaanajeeb,10,6,User
AsmaaOnlyy,9,295,User
asmaazezo5,100,3,User
asmayoucef98,40,3,User
Asomsalah999,8,1,User
asooly_511,4,6,User
ASQ_Group,22,114,User
assemahmed13,5,7,User
AsserZien,3,656,User
Asswqq,16,694,User
astoorataldafsr,50,132,User
AstrolojiTR,40,51,User
asx1_,3,1,User
ASy1416,18,308,User
atienowinnie54,1,0,User
atnfsk51,6,23,User
Attarzamani,200,2958,User
Audio_Bady,1,13094,User
AutFol001,13,2145,User
AV_M_Ibrahim,9,3,User
